,timestamp,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z
0,1695773234107,0.30273438,-0.34088135,-0.80181885,1.734375,3.953125,-0.578125
1,1695773234152,0.3125,-0.34210205,-0.86260986,1.734375,1.765625,-0.515625
2,1695773234181,0.3425293,-0.3574829,-0.8447876,-0.171875,-3.921875,0.71875
3,1695773234227,0.31811523,-0.3435669,-0.7932739,-2.296875,-3.125,0.359375
4,1695773234257,0.3293457,-0.34576416,-0.8501587,-1.140625,-1.1875,0.03125
5,1695773234302,0.3178711,-0.33746338,-0.786438,-1.359375,-1.46875,-0.15625
6,1695773234347,0.32861328,-0.34136963,-0.8123169,-2.28125,-2.140625,-0.21875
7,1695773234377,0.32421875,-0.3567505,-0.7744751,-3.90625,-2.21875,0.03125
8,1695773234423,0.32373047,-0.34698486,-0.81207275,-0.5,0.15625,-0.109375
9,1695773234467,0.3359375,-0.3604126,-0.80792236,-2.0625,-2.640625,0.1875
10,1695773234497,0.34057617,-0.3640747,-0.8189087,-3.84375,-5.421875,0.84375
11,1695773234543,0.35083008,-0.34503174,-0.788147,-1.75,-2.03125,0.8125
12,1695773234572,0.32592773,-0.35040283,-0.767395,-2.421875,2.78125,-0.984375
13,1695773234617,0.3383789,-0.3508911,-0.77838135,-0.6875,5.3125,-1.609375
14,1695773234662,0.33496094,-0.35699463,-0.80133057,-0.75,2.796875,-0.53125
15,1695773234692,0.33569336,-0.3574829,-0.7727661,1.546875,0.96875,0.671875
16,1695773234740,0.3474121,-0.36187744,-0.84161377,-0.5,1.640625,-0.015625
17,1695773234784,0.3227539,-0.35528564,-0.7727661,0.078125,2.90625,-0.90625
18,1695773234814,0.32299805,-0.3562622,-0.8233032,-2.640625,2.203125,-1.171875
19,1695773234860,0.3232422,-0.36480713,-0.833313,-0.59375,1.234375,-0.609375
20,1695773234888,0.3227539,-0.35479736,-0.81085205,-1.171875,-0.515625,-0.296875
21,1695773234934,0.3330078,-0.35894775,-0.78985596,0.6875,0.59375,-0.078125
22,1695773234982,0.3173828,-0.3513794,-0.7966919,1.53125,2.328125,-0.46875
23,1695773235009,0.32421875,-0.34527588,-0.80548096,1.0,0.390625,0.140625
24,1695773235056,0.3227539,-0.35333252,-0.81329346,1.15625,1.9375,-0.53125
25,1695773235100,0.31396484,-0.3574829,-0.79693604,2.0,1.578125,-0.265625
26,1695773235134,0.31835938,-0.3399048,-0.81451416,3.453125,1.25,0.1875
27,1695773235172,0.3046875,-0.3328247,-0.8023071,4.375,1.96875,0.140625
28,1695773235206,0.3232422,-0.32525635,-0.83062744,2.125,1.9375,-0.421875
29,1695773235250,0.3022461,-0.32940674,-0.78790283,3.546875,1.890625,-0.34375
30,1695773235294,0.31420898,-0.31427002,-0.83721924,2.796875,-3.34375,0.140625
31,1695773235327,0.32104492,-0.3369751,-0.82037354,0.71875,0.640625,0.609375
32,1695773235370,0.31420898,-0.31866455,-0.83135986,0.625,-3.8125,0.65625
33,1695773235414,0.3466797,-0.32891846,-0.84991455,-1.078125,-1.640625,0.453125
34,1695773235445,0.3022461,-0.31085205,-0.78326416,0.28125,-1.546875,0.328125
35,1695773235491,0.3330078,-0.3118286,-0.8225708,-1.75,-0.375,-0.59375
36,1695773235521,0.30786133,-0.32232666,-0.7817993,0.375,1.75,-0.703125
37,1695773235565,0.3310547,-0.3164673,-0.8164673,0.140625,-0.875,0.125
38,1695773235610,0.3125,-0.32232666,-0.79229736,0.015625,3.109375,-0.359375
39,1695773235639,0.3251953,-0.32403564,-0.8088989,-1.59375,0.96875,-0.03125
40,1695773235684,0.3215332,-0.3110962,-0.81427,1.890625,3.953125,0.234375
41,1695773235731,0.32470703,-0.3279419,-0.8809204,-0.375,2.296875,-0.375
42,1695773235763,0.3100586,-0.31158447,-0.817688,-0.09375,0.96875,-0.078125
43,1695773235808,0.2998047,-0.3032837,-0.800354,1.171875,0.3125,0.328125
44,1695773235834,0.32299805,-0.3135376,-0.81866455,2.09375,0.859375,0.734375
45,1695773235879,0.32250977,-0.30352783,-0.85162354,-0.1875,-1.03125,0.015625
46,1695773235925,0.3137207,-0.3081665,-0.819397,3.0,1.9375,0.125
47,1695773235954,0.29882812,-0.30133057,-0.79571533,6.40625,2.28125,0.546875
48,1695773235999,0.31201172,-0.30255127,-0.8933716,1.265625,-0.078125,0.21875
49,1695773236047,0.32543945,-0.2966919,-0.8501587,-0.125,-1.078125,0.109375
50,1695773236074,0.3083496,-0.2852173,-0.81036377,1.0,-0.21875,0.03125
51,1695773236122,0.30664062,-0.2822876,-0.8584595,-0.75,-3.0,0.34375
52,1695773236150,0.3347168,-0.2871704,-0.81915283,-2.484375,-3.515625,0.03125
53,1695773236195,0.32763672,-0.29473877,-0.80255127,-0.59375,0.328125,-0.390625
54,1695773236243,0.29467773,-0.28375244,-0.8076782,-1.125,1.3125,-0.84375
55,1695773236273,0.3371582,-0.2966919,-0.8442993,-2.0,0.59375,-1.0
56,1695773236314,0.3046875,-0.2966919,-0.8076782,-1.9375,-0.171875,-0.890625
57,1695773236362,0.3095703,-0.2979126,-0.803772,-0.265625,-1.75,0.0
58,1695773236391,0.31152344,-0.28985596,-0.8291626,-0.609375,-0.796875,0.125
59,1695773236437,0.32592773,-0.3008423,-0.83966064,-0.8125,-0.359375,-0.1875
60,1695773236510,0.31347656,-0.2876587,-0.7913208,0.203125,-1.234375,0.0
61,1695773236514,0.3371582,-0.2962036,-0.8335571,0.203125,-3.0,0.3125
62,1695773236557,0.32495117,-0.2954712,-0.80718994,0.046875,2.078125,-0.25
63,1695773236586,0.31811523,-0.29156494,-0.84259033,-0.21875,2.890625,-0.671875
64,1695773236629,0.31445312,-0.29718018,-0.79473877,-2.46875,0.828125,-0.6875
65,1695773236675,0.31469727,-0.286438,-0.7871704,0.046875,1.421875,0.0625
66,1695773236705,0.33374023,-0.29058838,-0.86016846,-0.625,1.09375,0.28125
67,1695773236750,0.30810547,-0.29693604,-0.8233032,-0.375,-1.53125,0.625
68,1695773236779,0.34594727,-0.29718018,-0.87091064,-1.546875,0.015625,-0.078125
69,1695773236826,0.3083496,-0.29742432,-0.7998657,-1.21875,-0.15625,-0.140625
70,1695773236871,0.32641602,-0.28912354,-0.83721924,-1.25,-0.921875,-0.359375
71,1695773236899,0.3083496,-0.29449463,-0.81378174,-1.546875,-1.1875,-0.34375
72,1695773236946,0.32543945,-0.29400635,-0.8027954,-0.75,0.203125,-0.140625
73,1695773236989,0.32641602,-0.30743408,-0.8296509,0.296875,0.765625,-0.265625
74,1695773237019,0.3178711,-0.2883911,-0.8255005,-0.390625,-1.015625,0.28125
75,1695773237064,0.32763672,-0.29888916,-0.8369751,-0.984375,-1.140625,0.359375
76,1695773237094,0.3256836,-0.2979126,-0.80548096,0.375,-0.046875,-0.03125
77,1695773237147,0.32250977,-0.28692627,-0.83428955,-0.3125,-2.46875,0.0625
78,1695773237188,0.3474121,-0.30059814,-0.8682251,-0.5625,-2.1875,-0.125
79,1695773237219,0.3239746,-0.29229736,-0.79571533,-0.265625,-2.234375,0.109375
80,1695773237260,0.34326172,-0.28375244,-0.8250122,-1.578125,-2.234375,-0.171875
81,1695773237306,0.3461914,-0.29058838,-0.8401489,-3.078125,-2.671875,-0.328125
82,1695773237335,0.3527832,-0.300354,-0.80133057,-3.203125,-4.515625,-0.21875
83,1695773237383,0.34545898,-0.29571533,-0.7803345,-1.703125,-1.46875,-0.28125
84,1695773237410,0.3486328,-0.2962036,-0.8040161,-0.765625,-0.6875,-0.21875
85,1695773237456,0.36206055,-0.30963135,-0.8128052,-0.34375,1.625,-0.65625
86,1695773237506,0.33862305,-0.29840088,-0.78570557,1.0625,1.640625,-0.171875
87,1695773237529,0.35766602,-0.29180908,-0.84161377,-0.125,1.9375,-0.546875
88,1695773237572,0.3359375,-0.30767822,-0.819397,0.28125,6.03125,-1.0
89,1695773237603,0.31420898,-0.28155518,-0.79400635,3.125,7.734375,-0.5
90,1695773237650,0.32739258,-0.2876587,-0.85650635,0.515625,4.734375,-0.5625
91,1695773237702,0.3244629,-0.29864502,-0.80426025,2.921875,5.546875,-0.21875
92,1695773237724,0.29785156,-0.26934814,-0.8621216,2.40625,1.28125,0.421875
93,1695773237771,0.3388672,-0.30108643,-0.892395,-1.9375,-0.765625,-0.140625
94,1695773237815,0.3137207,-0.28399658,-0.8220825,-0.140625,-0.09375,0.109375
95,1695773237848,0.32080078,-0.28424072,-0.8362427,-1.171875,-1.421875,-0.140625
96,1695773237890,0.32788086,-0.29205322,-0.83795166,0.0,0.015625,-0.109375
97,1695773237922,0.31762695,-0.2769165,-0.80426025,1.953125,1.375,0.078125
98,1695773237969,0.3112793,-0.27301025,-0.81988525,2.59375,0.40625,0.328125
99,1695773238010,0.31884766,-0.2727661,-0.8274536,2.171875,1.21875,0.21875
100,1695773238039,0.31689453,-0.27398682,-0.84942627,1.0,0.375,-0.046875
101,1695773238086,0.3173828,-0.27423096,-0.8543091,1.96875,-1.046875,0.265625
102,1695773238129,0.32373047,-0.2678833,-0.8633423,0.015625,-3.28125,0.234375
103,1695773238160,0.3317871,-0.2588501,-0.84747314,-0.890625,-0.765625,-0.203125
104,1695773238206,0.3215332,-0.2642212,-0.8220825,-0.90625,-0.875,-0.34375
105,1695773238235,0.31762695,-0.2617798,-0.83062744,-1.84375,-1.625,-0.65625
106,1695773238281,0.3474121,-0.27130127,-0.864563,-3.984375,-0.6875,-0.96875
107,1695773238325,0.31811523,-0.26983643,-0.79107666,-1.671875,-1.34375,-0.4375
108,1695773238353,0.3466797,-0.27593994,-0.88067627,-3.0,-0.3125,-0.75
109,1695773238400,0.33203125,-0.28961182,-0.8381958,-3.0,2.46875,-0.796875
110,1695773238447,0.34057617,-0.2732544,-0.8491821,-1.234375,0.859375,-0.40625
111,1695773238474,0.31640625,-0.27789307,-0.78204346,-2.0,-0.515625,-0.609375
